,XLK,XLP,XLY,XLB,XLI,SPY,XLK,XLP,XLY,XLB,XLI,SPY,XLK,XLP,XLY,XLB,XLI,SPY,XLK,XLP,XLY,XLB,XLI,SPY,Correlation,,Average Correlation,0.060668693,,,,,,,,,,,,,
10/1/2000,-0.057276964,0.073486704,-0.010104009,0.094112937,0.025283969,-0.002176812,0.145203839,0.233734642,-0.046143414,0.133438919,0.229893842,0.13388103,6,2,5,1,3,4,3,1,6,5,2,4,0.2,,,,1,2,3,4,5,6,1,2,3,4,5,6,1
11/1/2000,-0.205146373,0.034502696,-0.024793367,-0.025296614,-0.033999922,-0.074653069,-0.1983309,0.10419903,-0.152393441,-0.147606164,-0.111406052,-0.088844325,6,1,2,3,4,5,6,1,5,4,3,2,0.428571429,,,,,,,,,,1,2,3,4,6,5,0.942857143
12/1/2000,-0.098920925,0.033352073,0.067796177,0.111922036,0.035196603,-0.008268174,-0.185766999,-0.078282235,-0.006063767,-0.052311697,-0.066610595,-0.118448967,6,4,2,1,3,5,6,4,1,2,3,5,0.942857143,,,,,,,,,,1,2,3,6,5,4,0.771428571
1/1/2001,0.191217449,-0.070197634,0.119083486,-0.001340283,0.008019076,0.047662147,0.24102585,0.052598771,0.012918029,0.150153495,0.220517544,0.112914935,1,6,2,5,4,3,1,5,6,3,2,4,0.257142857,,,,,,,,,,2,1,4,3,6,5,0.828571429
2/1/2001,-0.249061463,0.006042551,-0.071403374,0.012949717,-0.059930251,-0.095387166,0.255706857,0.068853436,-0.016654697,0.173735699,0.160183878,0.148355677,6,2,4,1,3,5,1,5,6,2,3,4,-0.142857143,,,,,,,,,,6,2,3,4,5,1,-0.428571429
3/1/2001,-0.114602548,-0.072072499,-0.016584944,-0.054450774,-0.098338051,-0.058571895,-0.442129466,0.073481005,0.024571497,-0.070059711,-0.190359048,-0.191195375,6,4,1,2,5,3,6,1,2,3,4,5,0.542857143,,,,,,,,,,,,,,,,#DIV/0!
4/1/2001,0.161694155,0.022400211,0.048508587,0.11177547,0.117502941,0.088362279,0.330550817,-0.078216596,0.201327018,0.263921849,0.092849673,0.141948702,1,6,5,3,2,4,1,6,3,2,5,4,0.6,,,,,,,,,,,,,,,,#DIV/0!
5/1/2001,-0.040958121,0.014683237,0.02380999,0.038461262,0.041849454,-0.005604649,0.022304849,-0.06128517,-0.060574375,0.003841976,-0.023447676,-0.016905648,6,4,3,2,1,5,1,6,5,2,4,3,-0.314285714,,,,1,1,1,1,2,6,,,,,,,#N/A
6/1/2001,0.019543768,-0.049276832,-0.010017843,-0.038779603,-0.063815722,-0.02659873,0.021605688,0.005869347,0.023942854,-0.029724462,-0.001685182,0.015209884,1,5,2,4,6,3,2,4,1,6,5,3,0.771428571,,,,2,2,2,2,1,2,,,,,,,#N/A
7/1/2001,-0.069222325,0.033717266,0.046713128,0.001707167,8.52E-05,-0.007380636,0.042755286,-0.043487232,0.082792047,0.054275652,0.032042125,0.042135369,6,2,1,3,4,5,3,6,1,2,5,4,0.2,,,,3,3,3,3,4,3,,,,,,,#N/A
8/1/2001,-0.122044232,0.004790453,-0.087543204,-0.004091023,-0.034327064,-0.059332111,0.097590406,0.009146133,0.069405755,0.126228289,0.039176359,0.048393718,6,1,5,2,3,4,2,6,3,1,5,4,-0.428571429,,,,4,4,4,6,3,4,,,,,,,#N/A
9/1/2001,-0.163770749,-0.004370179,-0.128934194,-0.123687726,-0.150089575,-0.085063623,-0.127597057,0.051792835,0.037327588,-0.056191486,-0.007114464,-0.024747586,6,1,4,3,5,2,6,1,2,5,3,4,0.542857143,,,,5,5,6,5,6,5,,,,,,,#N/A
10/1/2001,0.109090995,-0.003226228,0.055841928,0.033228941,0.022019654,0.016822582,-0.342330481,0.062126564,-0.506822305,-0.161560685,-0.098392092,-0.180059167,1,6,2,3,4,5,5,1,6,3,2,4,-0.771428571,,,,6,6,5,4,5,1,,,,,,,#N/A
11/1/2001,0.149414573,0.044176442,0.133167684,0.12677455,0.100041199,0.077977544,0.061281043,-0.192414326,0.016204899,0.048778118,0.007743478,-0.011230226,1,6,2,3,4,5,1,6,3,2,4,5,0.942857143,,,,,,,,,,,,,,,,
12/1/2001,-0.022004557,-0.023076905,0.043795891,-0.036003787,0.045283331,0.00219235,-0.166167116,0.024712528,-0.288130695,-0.226210743,-0.412233115,-0.249372544,4,5,2,6,1,3,2,1,5,3,6,4,-0.828571429,,,,,,,,,,,,,,,,
1/1/2002,-0.010833769,-0.003187349,0.03448835,0.029770209,-0.063177168,-0.006392974,-0.054857738,0.098767471,-0.008555135,0.056938086,0.029304819,-0.006131573,5,3,1,2,6,4,6,1,5,2,3,4,0.142857143,,,,,,,,,,,,,,,,
2/1/2002,-0.130159903,0.021007191,0.005416168,0.05291937,0.025048285,-0.017936375,0.024537545,-0.081360393,-0.028748719,0.02346483,0.001248311,-0.028652894,6,3,4,1,2,5,1,6,5,2,3,4,-0.085714286,,,,,,,,,,,,,,,,
3/1/2002,0.04939458,0.013198516,0.011448208,0.027296767,0.024060013,0.030319003,-0.05083802,-0.094651515,-0.032332035,-0.059716914,-0.135050266,-0.070531085,1,5,6,3,4,2,2,5,1,3,6,4,0.028571429,,,,,,,,,,,,,,,,
4/1/2002,-0.120904612,-0.034382307,-0.026738297,-0.044033727,-0.066294196,-0.055457042,0.105651785,0.089914043,0.110804378,0.12894426,0.057894408,0.046325183,6,2,1,3,5,4,3,4,2,1,5,6,0.371428571,,,,,,,,,,,,,,,,
5/1/2002,-0.041469562,-0.011142428,-0.005136895,0.04957999,0.004337583,-0.00593371,0.050476391,-0.05099398,0.035026821,0.025569761,0.025095976,0.027432353,6,5,3,1,2,4,1,6,2,4,5,3,-0.314285714,0.154285714,,,,,,,,,,,,,,,
6/1/2002,-0.133625661,-0.104627785,-0.05438913,-0.021931657,-0.063604036,-0.077038207,-0.058701811,-0.022630972,-0.079185256,-0.043703771,-0.052898061,-0.0353627,6,5,2,1,3,4,5,1,6,3,4,2,-0.2,0.134285714,,,,,,,,,,,,,,,
7/1/2002,-0.094816602,-0.039779294,-0.117802154,-0.108969548,-0.054313291,-0.075595238,0.076613127,0.220674453,0.13835621,0.056268234,0.204208435,0.190108951,4,1,6,5,2,3,5,1,4,6,2,3,0.828571429,0.154285714,,,,,,,,,,,,,,,
8/1/2002,-0.008379914,0.007981438,0.030177437,-0.005350439,-0.01555548,0.006801371,-0.616350817,0.423942644,-0.038163836,-0.089416234,-0.001128314,0.011553295,5,2,1,4,6,3,6,1,4,5,3,2,0.371428571,0.125714286,,,,,,,,,,,,,,,
9/1/2002,-0.166901065,-0.078249008,-0.09028858,-0.134962995,-0.118736206,-0.108847572,-0.02495199,-0.018096242,-0.087297194,0.007352089,-0.034533296,-0.03468693,6,1,2,5,4,3,3,2,6,1,4,5,-0.314285714,0.097142857,,,,,,,,,,,,,,,
10/1/2002,0.247675034,0.045631803,0.068825985,0.063413203,0.053153605,0.087135634,0.483624554,0.182588793,0.12722405,0.411053965,0.346843901,0.27675794,1,6,3,4,5,2,1,5,6,2,3,4,0.371428571,0.122857143,,,,,,,,,,,,,,,
11/1/2002,0.15853623,-0.02772397,0.046281076,0.120320908,0.052246253,0.061681037,0.921061605,0.148838756,0.51686028,0.765698249,0.463689478,0.429040526,1,6,5,2,4,3,1,6,3,2,4,5,0.771428571,0.134285714,,,,,,,,,,,,,,,
12/1/2002,-0.134502651,-0.002501044,-0.087282999,-0.052983603,-0.044547634,-0.061183558,-0.008574493,0.329310267,-0.096289821,0.147250072,0.16138932,0.126526788,6,1,5,3,2,4,5,1,6,3,2,4,0.942857143,0.151428571,,,,,,,,,,,,,,,
1/1/2003,-0.021013056,-0.028947839,-0.031109491,-0.042694838,-0.048693853,-0.019801453,-0.031629597,0.015345575,0.016121449,-0.021675648,0.027686028,0.031511215,2,3,4,5,6,1,6,4,3,5,2,1,0.028571429,0.168571429,,,,,,,,,,,,,,,
2/1/2003,0.004844421,-0.030633107,-0.004476155,-0.026525318,-0.015400238,-0.013479002,-0.045252071,-0.179444042,-0.038638059,-0.061873307,-0.106657887,-0.079941666,1,6,2,5,4,3,2,6,1,3,5,4,0.771428571,0.168571429,,,,,,,,,,,,,,,
3/1/2003,-0.015151561,-0.005356262,0.022032671,0.001634905,0.006777793,-0.00188447,0.11485731,0.016483647,-0.0016836,0.032132432,0.032429504,0.033568301,6,5,1,3,2,4,1,5,6,4,3,2,-0.6,0.128571429,,,,,,,,,,,,,,,
4/1/2003,0.091608169,0.035285039,0.118638525,0.095257647,0.112470229,0.088984984,-0.163640027,-0.176403526,-0.101685822,-0.124038552,-0.19780049,-0.15093572,4,6,1,3,2,5,4,5,1,2,6,3,0.371428571,0.168571429,,,,,,,,,,,,,,,
